Num?ro;Ville;Site;Usage;Superficie;Cout_m2;COUT;Taxe_Jouissance;Type_option;Date vente;Date fin contrat;attestation etablie;plan etablie;Presence ONEA;Presence SONABEL
1479;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;388;28000;10864000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1480;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1481;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1482;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1483;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1484;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;07/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1485;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1486;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1487;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;388;28000;10864000;500;ACOMPTE 30%;17/01/2024;17/01/2025;NON DEFINI;NON DEFINI;OUI;OUI
1488;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;271;28000;7588000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1489;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1490;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1491;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1492;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1493;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1494;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;271;28000;7588000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1495;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;271;28000;7588000;500;ACOMPTE 30%;21/11/2023;21/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1496;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1497;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1498;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1499;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1500;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;271;28000;7588000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1501;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;271;28000;7588000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1502;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1503;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1504;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1505;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;14/11/2023;07/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1506;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;17/11/2023;17/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1507;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;271;28000;7588000;500;ACOMPTE 30%;17/11/2023;17/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1508;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;271;28000;7588000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1509;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1510;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1511;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1512;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1513;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1514;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;271;28000;7588000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1515;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;271;28000;7588000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1516;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1517;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1518;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1519;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1520;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1521;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;271;28000;7588000;500;ACOMPTE 30%;08/11/2023;07/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1522;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;271;28000;7588000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1523;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;07/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1524;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1525;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1526;OUAGADOUGOU;SILMIOUGOU;HABITATION;300;26000;7800000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
